icd_code,f1_score,train_count
Z951,0.8130745658835546,6274
I2510,0.7215533980582525,22606
I10,0.7138887093646998,43570
E785,0.6977860442791144,44038
Z955,0.6674174174174174,7759
Z7901,0.6182660745317629,15321
E1122,0.6143617021276596,9205
Z794,0.6077922077922078,15275
J449,0.5957186544342508,10268
Z86718,0.5842309349418354,7598
E039,0.5840307622709794,15252
I4891,0.5692582663092046,12034
E119,0.5685909373060211,13572
I252,0.5607599082869309,8577
Z8673,0.5447698744769874,7911
K219,0.5427336215497173,30801
I130,0.5413153456998314,6516
G4733,0.5390605375533786,12658
D62,0.5389766943477096,10130
Z87891,0.5296364756623536,36294
J45909,0.5271966527196653,10612
N179,0.5263696876600102,19705
F329,0.5145909327774882,23228
F419,0.4717245676896713,19151
I129,0.46924829157175396,9432
I110,0.45326596896427285,7435
N183,0.4510288065843621,6804
I480,0.4391237901171676,6695
M109,0.43406022845275183,6219
Z66,0.429847862835064,10743
E669,0.41268980477223427,12145
I5032,0.41025641025641024,5635
N400,0.4021543985637343,6816
N189,0.3986297103706011,8565
J9601,0.398595258999122,5896
F17210,0.38927855711422843,11619
N390,0.3797387703090156,9659
Z7902,0.3739927757710475,10516
G8929,0.35350877192982455,7535
E871,0.350700682716493,8643
J189,0.3437366395895682,5790
E872,0.31871657754010696,8160
Y929,0.28677839851024206,11548
D649,0.20926243567753003,12467
Y92230,0.18494897959183673,5653
D696,0.16906267970097758,6438
K5900,0.14202049780380674,7097
Y92239,0.13658536585365855,5981
G4700,0.0975609756097561,6450
Z23,0.023157894736842106,5714
