icd_code,threshold,f1,precision,recall,support,auc_roc,avg_precision,train_count
Z951,0.6000000238418579,0.8114980652294085,0.8604923798358733,0.7677824267782427,956,0.9655809640105796,0.8210594159217872,6274
I2510,0.550000011920929,0.7348571428571429,0.7044645302656807,0.767990444908928,3349,0.9202787532355207,0.7747831798457333,22606
I10,0.550000011920929,0.7153428712382832,0.6619277422720752,0.7781355412450168,6522,0.8490171546650171,0.7746182120139141,43570
E785,0.550000011920929,0.7012325830653805,0.6325839980662316,0.7865945296062519,6654,0.8343445814102959,0.7545627872085839,44038
Z955,0.550000011920929,0.6735395189003437,0.67008547008547,0.6770293609671848,1158,0.9465114149611024,0.6892301226652615,7759
E1122,0.550000011920929,0.6256335988414192,0.6167023554603854,0.6348273328434975,1361,0.9206242705298566,0.6159536596032132,9205
Z794,0.550000011920929,0.614720314033366,0.564935064935065,0.6741282823934568,2323,0.9141444044983219,0.65150904051591,15275
J449,0.6000000238418579,0.6144623454477333,0.7420814479638009,0.5242966751918159,1564,0.8749331580416719,0.6113417605667736,10268
Z7901,0.5,0.606550748079256,0.5651846269781462,0.6544502617801047,2292,0.9000038111435038,0.6642661274074635,15321
I252,0.550000011920929,0.5981465880370682,0.6442831215970962,0.5581761006289309,1272,0.9100775703624707,0.6224428075097664,8577
E039,0.6000000238418579,0.5894308943089431,0.6933652121936641,0.5125939019001325,2263,0.8467252196931361,0.6213076558884442,15252
Z86718,0.550000011920929,0.5879470847623713,0.6756756756756757,0.5203816131830009,1153,0.8880637501117566,0.5674243476309498,7598
I4891,0.5,0.5812441968430826,0.50220617729643,0.6898071625344353,1815,0.8906562699856455,0.5329865104728968,12034
G4733,0.6000000238418579,0.564505566470203,0.7568042142230026,0.4501305483028721,1915,0.8348890615812782,0.5888660035354124,12658
E119,0.550000011920929,0.5620335820895522,0.5636108512628625,0.5604651162790698,2150,0.8611634676332485,0.5354659178595031,13572
Z8673,0.550000011920929,0.5419120978704123,0.5578358208955224,0.5268722466960353,1135,0.868636551450855,0.4916712526075576,7911
